"id","nct_id","name","removed"
38490483,"NCT00022672","United States",FALSE
38490484,"NCT00022672","Australia",FALSE
38490485,"NCT00022672","Brazil",FALSE
38490486,"NCT00022672","Bulgaria",FALSE
38490487,"NCT00022672","Canada",FALSE
38490488,"NCT00022672","China",FALSE
38490489,"NCT00022672","France",FALSE
38490490,"NCT00022672","Germany",FALSE
38490491,"NCT00022672","Hong Kong",FALSE
38490492,"NCT00022672","Hungary",FALSE
38490493,"NCT00022672","India",FALSE
38490494,"NCT00022672","Israel",FALSE
38490495,"NCT00022672","Italy",FALSE
38490496,"NCT00022672","Lithuania",FALSE
38490497,"NCT00022672","Mexico",FALSE
38490498,"NCT00022672","Netherlands",FALSE
38490499,"NCT00022672","Norway",FALSE
38490500,"NCT00022672","Poland",FALSE
38490501,"NCT00022672","Russian Federation",FALSE
38490502,"NCT00022672","South Africa",FALSE
38490503,"NCT00022672","Spain",FALSE
38490504,"NCT00022672","Sweden",FALSE
38490505,"NCT00022672","Taiwan",FALSE
38490506,"NCT00022672","Turkey",FALSE
38490507,"NCT00022672","Ukraine",FALSE
38490508,"NCT00022672","United Kingdom",FALSE
38853433,"NCT00022919","United States",FALSE
39012474,"NCT00022997","United States",FALSE
38443637,"NCT00023062","United States",FALSE
39067856,"NCT00023634","United States",FALSE
38952863,"NCT00023686","United States",FALSE
38952864,"NCT00023686","Canada",FALSE
38436675,"NCT00023790","United States",FALSE
38398796,"NCT00023829","Canada",FALSE
38510702,"NCT00024102","United States",FALSE
38510703,"NCT00024102","Canada",FALSE
38510704,"NCT00024102","Peru",FALSE
38562032,"NCT00024167","United States",FALSE
38597352,"NCT00024232","United States",FALSE
38561813,"NCT00024414","United States",FALSE
38448222,"NCT00024635","United States",FALSE
38579055,"NCT00024908","United States",FALSE
38956737,"NCT00025116","Canada",FALSE
38668840,"NCT00025194","United States",FALSE
39007449,"NCT00025688","United States",FALSE
38945500,"NCT00025831","United States",FALSE
