,nct_id,start_date,phase,year,BreastCancer,ProstateCancer,Stroke,HeartFailure,Pain,Obesity,Cancer,Depression,Hypertension,Anxiety,UnitedStates,Canada,China,France,Germany,UnitedKingdom,Korea,Italy,Spain,Turkey
7052,NCT04674384,2022/1/19,NA,2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7053,NCT04674722,2020/8/24,EARLY_PHASE1,2020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7054,NCT04675021,2020/11/13,PHASE1,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7055,NCT04675515,2021/1/19,NA,2021,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7056,NCT04675593,2021/3/15,NA,2021,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7057,NCT04675762,2021/1/15,PHASE2,2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7058,NCT04676152,2020/10/5,NA,2020,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7059,NCT04676399,2022/2/8,EARLY_PHASE1,2022,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7060,NCT04676516,2021/6/8,PHASE2,2021,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7061,NCT04677738,2020/8/20,NA,2020,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7062,NCT04677855,2021/3/30,PHASE1,2021,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7063,NCT04678115,2021/6/1,NA,2021,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7064,NCT04678128,2020/1/1,NA,2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7065,NCT04678752,2020/3/17,NA,2020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7066,NCT04678973,2021/1/1,NA,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7067,NCT04679090,2018/9/11,NA,2018,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7068,NCT04679454,2021/7/31,NA,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7069,NCT04680442,2021/7/1,PHASE2,2021,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7070,NCT04680455,2020/9/22,NA,2020,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7071,NCT04681547,2020/12/15,PHASE4,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7072,NCT04681911,2020/9/9,PHASE2,2020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7073,NCT04682080,2018/6/20,NA,2018,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
7074,NCT04682197,2021/12/14,NA,2021,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7075,NCT04682223,2021/5/5,NA,2021,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
